SMS sending attempt on : January 5, 2022, 6:02 am ; SMS Status : Successful 
SMS sending attempt on : January 5, 2022, 6:03 am ; SMS Status : Successful 
SMS sending attempt on : January 9, 2022, 3:00 pm ; SMS Status : Successful 
SMS sending attempt on : January 9, 2022, 3:04 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 4:01 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 9:10 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 9:12 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 9:39 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 10:00 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 10:00 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 10:01 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 10:09 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 10:10 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 10:29 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 10:29 pm ; SMS Status : Successful 
SMS sending attempt on : January 15, 2022, 10:33 pm ; SMS Status : Successful 
SMS sending attempt on : January 20, 2022, 11:13 pm ; SMS Status : Successful 
SMS sending attempt on : January 20, 2022, 11:16 pm ; SMS Status : Successful 
